TargetGene	chr	start	end	averageCorr	averageCorrWeighted	Nchunks	Ncelltypes
ACAP1	chr17	7336278	7336778	0.0778902973845326	0.0702993473247328	278	54
ACAP2	chr3	195442838	195443338	0.638924646058481	0.634694967242251	793	131
ACAP3	chr1	1307639	1308139	0.758737761691446	0.763909683537306	648	130
ACAT1	chr11	108121280	108121780	0.531695262980409	0.52979445387854	533	131
ACAT2	chr6	159761706	159762206	0.675294271688181	0.681665274926922	540	131
ACBD3	chr1	226186472	226186972	0.478741315210004	0.490994484322441	767	131
ACBD4	chr17	45135396	45135896	0.367916121738125	0.343700477482804	470	130
ACBD5	chr10	27240629	27241129	0.639722469795013	0.629103773734271	377	131
ACBD6	chr1	180502637	180503137	0.735512916258008	0.724393892529348	856	131
ACBD7	chr10	15088526	15089026	0.506883235296307	0.511585795766662	667	111
ACBD7-DCLRE1CP1	chr10	15088526	15089026	0.506883235296307	0.511585795766662	667	111
ACCS	chr11	44066011	44066511	0.552663413131162	0.53183431499864	700	125
ACCSL	chr11	44047730	44048230	-7.89023217471287e-05	-0.000212095096096962	184	11
ACD	chr16	67660565	67661065	0.73492326156902	0.725193528998536	493	131
ACE	chr17	63484566	63485066	0.00412107527012546	0.00450661719127636	303	20
ACE2	chrX	15601819	15602319	0.000204903187591288	5.41877730993312e-05	137	10
ACER1	chr19	6333379	6333879	-0.000116081891005915	-6.79118313930795e-05	49	5
ACER2	chr9	19408676	19409176	0.454618062044607	0.460703032217116	819	131
ACER3	chr11	76860622	76861122	0.516203251050857	0.521963876502319	821	131
ACHE	chr7	100895721	100896221	0.0957503308449826	0.0845820986527007	485	83
ACIN1	chr14	23095364	23095864	0.800382103639492	0.791987144233363	528	131
ACKR1	chr1	159203762	159204262	0.00146115789494477	0.00119037418622976	198	18
ACKR2	chr3	42809221	42809721	0.000838944875677968	0.000765698582007381	92	7
ACKR3	chr2	236569486	236569986	0.168436111557663	0.148387344854585	1237	121
ACKR4	chr3	132596986	132597486	0.00183219182439878	0.00123904791931427	386	19
ACLY	chr17	41918769	41919269	0.446192474289448	0.44513688136536	374	124
ACMSD	chr2	134838365	134838865	1.28794274036871e-05	5.40121628440035e-06	122	5
ACO1	chr9	32384352	32384852	0.286502905956638	0.284419250753701	523	130
ACO2	chr22	41468874	41469374	0.723714434907283	0.742170593734502	452	131
ACOD1	chr13	76952238	76952738	0.00177085290557242	0.0017994508913979	236	15
ACOT1	chr14	73536973	73537473	0.0712723699159294	0.0688773124358417	319	63
ACOT11	chr1	54547883	54548383	0.237292996689783	0.230124266732906	774	99
ACOT12	chr5	81393919	81394419	0.014333503130743	0.0137268246647499	787	44
ACOT13	chr6	24666784	24667284	0.66505056264722	0.664704966602875	333	131
ACOT2	chr14	73568808	73569308	0.119954389352576	0.119823661146599	563	115
ACOT4	chr14	73591455	73591955	0.0790039491552798	0.0800669796591543	492	87
ACOT6	chr14	73616593	73617093	NA	NA	NA	NA
ACOT7	chr1	6393516	6394016	0.625835607040952	0.619511833686453	632	131
ACOT8	chr20	45857159	45857659	0.569302649401722	0.583590388014589	520	130
ACOT9	chrX	23743040	23743540	0.586520448469404	0.565402063703351	776	129
ACOX1	chr17	75979184	75979684	0.759089613714024	0.760460419670599	410	131
ACOX2	chr3	58536952	58537452	0.0246195888578267	0.0219488375819372	842	55
ACOX3	chr4	8440475	8440975	0.535299797510336	0.529658779324142	1449	131
ACOXL	chr2	110732322	110732822	0.00270624653357866	0.00145888531376219	606	32
ACOXL-AS1	chr2	111115338	111115838	0.00114669189091092	0.000694517953699236	243	7
ACP1	chr2	264618	265118	0.583277572573198	0.580918132123461	1195	131
ACP2	chr11	47248597	47249097	0.368072071277945	0.356420631107386	562	131
ACP5	chr19	11578758	11579258	0.0327693096940207	0.0275481246081697	206	56
ACP6	chr1	147670293	147670793	0.43282206446287	0.403500710936529	572	129
ACP7	chr19	39084054	39084554	0.00680567841728526	0.00410608101984685	202	24
ACPP	chr3	132317116	132317616	0.238514113477395	0.244659345074658	595	110
ACPT	chr19	50790164	50790664	0.00131179432445192	0.00100184165653187	68	13
ACR	chr22	50737973	50738473	0.000347455421379433	0.000332804905995164	255	9
ACRBP	chr12	6647164	6647664	0.11724183808067	0.100880571461318	567	93
ACRV1	chr11	125680648	125681148	0.000775774339705863	0.000736403237194255	129	13
ACSBG1	chr15	78234457	78234957	0.000463380287397697	0.000119874387358989	234	13
ACSBG2	chr19	6135382	6135882	-0.000149992880454864	-0.000155213843977794	66	3
ACSF2	chr17	50425907	50426407	0.146492433438498	0.138254126494074	919	130
ACSF3	chr16	89093558	89094058	0.109913918802136	0.109175196101315	842	108
ACSL1	chr4	184825864	184826364	0.239895557195073	0.25360660575347	1168	119
ACSL3	chr2	222860763	222861263	0.52039405928636	0.532655772830142	771	131
ACSL4	chrX	109733142	109733642	0.558532893555682	0.560533332466224	1046	130
ACSL5	chr10	112375947	112376447	0.189896439614508	0.189152463520575	1108	117
ACSL6	chr5	132011412	132011912	0.0183453232776786	0.0175742706447352	527	50
ACSM1	chr16	20691006	20691506	0.00407426648271313	0.00315836094035854	228	22
ACSM2A	chr16	20451210	20451710	NA	NA	24	1
ACSM2B	chr16	20576123	20576623	NA	NA	52	1
ACSM3	chr16	20763739	20764239	0.201665220696344	0.172919615765391	781	123
ACSM4	chr12	7304081	7304581	-0.000224452284960252	-0.000148608836149721	201	9
ACSM5	chr16	20409283	20409783	0.0260692352218903	0.0222263537139093	631	55
ACSM6	chr10	95193949	95194449	0.000585615743611483	0.000285466243981494	297	9
ACSS1	chr20	25057932	25058432	0.213108818417807	0.202773883937564	888	113
ACSS2	chr20	34876274	34876774	0.489285171112183	0.482304897061851	460	129
ACSS3	chr12	81077767	81078267	0.131238336610578	0.130214682552667	810	82
ACTA1	chr1	229433846	229434346	0.00262500435986661	0.00213201150757986	475	28
ACTA2	chr10	88991147	88991647	0.481574017098242	0.475811380791176	803	127
ACTA2-AS1	chr10	88932433	88932933	0.0951436527257577	0.0803223741554845	1005	107
ACTB	chr7	5530351	5530851	0.398462801972387	0.400391031722323	660	131
ACTBL2	chr5	57482559	57483059	0.00645233553081869	0.00425530875640287	680	37
ACTC1	chr15	34795476	34795976	0.0151169372412677	0.0104315395284562	411	37
ACTG1	chr17	81512616	81513116	0.30685476440327	0.285743147034598	601	131
ACTG1P17	chr15	82739530	82740030	0.00294203609928752	0.00233847620567896	144	14
ACTG1P20	chr1	27323623	27324123	0.00311811633443592	0.00282643377140615	231	19
ACTG1P4	chr1	103569153	103569653	0.0017082124714397	0.00180716906666297	78	9
ACTG2	chr2	73892715	73893215	0.00474478438548582	0.00495786422370339	418	36
ACTL10	chr20	33666247	33666747	0.418823697371404	0.424201172233519	672	128
ACTL6A	chr3	179562629	179563129	0.685619329413035	0.672074643615247	410	131
ACTL6B	chr7	100656211	100656711	0.00283633754365585	0.00238034857511674	253	24
ACTL7A	chr9	108861977	108862477	1.29970295836268e-05	-7.74220577348216e-06	132	5
ACTL7B	chr9	108855745	108856245	-0.000283319092955776	-0.000307810105541995	183	7
ACTL8	chr1	17755062	17755562	0.000699795808837612	0.000810773493564244	131	9
ACTL9	chr19	8698580	8699080	-0.000104664612751062	-8.05074217677394e-05	57	3
ACTN1	chr14	68979116	68979616	0.475890056353061	0.48241515934606	964	126
ACTN1-AS1	chr14	68979431	68979931	0.494752431970193	0.503224569514294	961	126
ACTN2	chr1	236686203	236686703	0.0305194122126065	0.0298129595851753	640	53
ACTN3	chr11	66546590	66547090	0.0334655043086464	0.0288832440575932	328	62
ACTN4	chr19	38647365	38647865	0.172982654926437	0.158463343806118	613	129
ACTR10	chr14	58199864	58200364	0.582394997170213	0.588078037024528	401	131
ACTR1A	chr10	102502505	102503005	0.63778546771219	0.633311864096151	521	131
ACTR1B	chr2	97663848	97664348	0.635997363214553	0.617532762674824	320	131
ACTR2	chr2	65227444	65227944	0.549399297077093	0.560936132766136	848	131
ACTR3	chr2	113889683	113890183	0.628940007205099	0.617551209641265	561	131
ACTR3B	chr7	152759498	152759998	0.519777229750165	0.528136261644798	888	130
ACTR3BP2	chr2	91940882	91941382	NA	NA	NA	NA
ACTR3BP5	chr10	38696345	38696845	NA	NA	NA	NA
ACTR3C	chr7	150323419	150323919	0.110613462616203	0.0967867091348412	843	102
ACTR5	chr20	38748203	38748703	0.653031082833267	0.665411553467128	855	131
ACTR6	chr12	100200526	100201026	0.493108508670951	0.481180452826651	560	131
ACTR8	chr3	53881952	53882452	0.585696300393012	0.591492259743633	396	131
ACTRT1	chrX	128052153	128052653	NA	NA	15	1
ACTRT2	chr1	3021231	3021731	-0.000211822813500986	-0.000271964558765782	174	6
ACTRT3	chr3	169769645	169770145	0.626071612477451	0.599720058123535	463	130
ACVR1	chr2	157875612	157876112	0.557608922800229	0.5383838938598	956	131
ACVR1B	chr12	51951416	51951916	0.146440967670594	0.154157368157031	683	127
ACVR1C	chr2	157628637	157629137	0.12615732653248	0.11456811457961	1164	114
ACVR2A	chr2	147844266	147844766	0.700634383269262	0.689849266989929	757	129
ACVR2B	chr3	38454048	38454548	0.238519393844659	0.222865046106968	535	124
ACVR2B-AS1	chr3	38454570	38455070	0.236812934191005	0.221501949848624	554	126
ACVRL1	chr12	51907167	51907667	0.0201563802989509	0.0164749611491579	430	46
ACY1	chr3	51983033	51983533	0.665782155612275	0.658152501096819	451	131
ACY3	chr11	67650409	67650909	0.0186073676538492	0.0157444700660277	317	61
ACYP1	chr14	75063799	75064299	0.182750148606495	0.169714440095475	809	131
ACYP2	chr2	54115022	54115522	0.779182958399514	0.765104581082496	1014	131
ADA	chr20	44651508	44652008	0.144099008183505	0.133301760453962	959	128
ADA2	chr22	17219335	17219835	0.0799044433847472	0.0773557739652758	471	66
ADAD1	chr4	122379189	122379689	-4.57440425202263e-05	-5.56226764651516e-05	38	3
ADAD2	chr16	84190866	84191366	-0.000274265486220481	-0.000284811055410474	173	10
ADAL	chr15	43330105	43330605	0.768172321524529	0.770492334493887	379	130
ADAM10	chr15	58749728	58750228	0.593800059664008	0.588966990984511	708	131
ADAM11	chr17	44758928	44759428	0.00272286180470823	0.00288059890668488	110	17
ADAM12	chr10	126388308	126388808	0.0165750361565007	0.0131875722008098	811	47
ADAM15	chr1	155051021	155051521	0.193825680474417	0.181170800627156	446	128
ADAM17	chr2	9555570	9556070	0.610488782041945	0.59455488192234	759	131
ADAM18	chr8	39584317	39584817	-0.000231117333306319	-0.000255260824977467	115	7
ADAM19	chr5	157575573	157576073	0.105191129752392	0.0964246452420518	999	122
ADAM1A	chr12	111898812	111899312	-0.000152071485268056	-0.000213558933071086	221	18
ADAM2	chr8	39838039	39838539	1.55204298319375e-05	1.90658092666075e-05	10	2
ADAM20	chr14	70534765	70535265	NA	NA	NA	NA
ADAM20P1	chr14	70483506	70484006	NA	NA	NA	NA
ADAM21	chr14	70451906	70452406	NA	NA	NA	NA
ADAM21P1	chr14	70247551	70248051	NA	NA	NA	NA
ADAM22	chr7	87933892	87934392	0.33906482077702	0.332677540227481	597	121
ADAM23	chr2	206443393	206443893	0.0285631209913294	0.0239872834438534	834	64
ADAM28	chr8	24293789	24294289	0.0657865712288213	0.0645019652728709	827	83
ADAM29	chr4	174918107	174918607	0.000305118428605575	0.000257906104641286	125	7
ADAM30	chr1	119896274	119896774	0.000766445412914568	0.000690882022946558	260	16
ADAM32	chr8	39107278	39107778	0.0710487253133424	0.068343030937416	758	82
ADAM33	chr20	3682440	3682940	0.0121222011463114	0.00969590853188328	288	27
ADAM3A	chr8	39522739	39523239	-5.81671960062988e-05	-7.91699025831847e-05	50	2
ADAM3B	chr16	49518335	49518835	NA	NA	NA	NA
ADAM5	chr8	39314412	39314912	-0.000108416886666575	-0.000192246232149958	141	8
ADAM6	chr14	105972019	105972519	NA	NA	NA	NA
ADAM7	chr8	24440745	24441245	-0.000170155849154497	-0.000257278162754237	82	5
ADAM8	chr10	133276653	133277153	0.124108675175365	0.117594760011496	755	81
ADAM9	chr8	38996735	38997235	0.801359713378514	0.81822238426089	807	131
ADAMDEC1	chr8	24384034	24384534	0.057411560164469	0.0541893473032114	401	48
ADAMTS1	chr21	26845159	26845659	0.219825300608212	0.208139878471961	715	97
ADAMTS10	chr19	8610485	8610985	0.075697865971283	0.064284314753595	277	69
ADAMTS12	chr5	33891942	33892442	0.0343842100383126	0.027379172368709	815	69
ADAMTS13	chr9	133421749	133422249	0.0147126843167911	0.0140963470799618	423	55
ADAMTS14	chr10	70672255	70672755	0.0282760800196882	0.0241077759115446	864	74
ADAMTS15	chr11	130448723	130449223	0.0834992613867656	0.0788520586069218	1238	96
ADAMTS16	chr5	5140079	5140579	0.00170680254183148	0.000856623580408997	342	13
ADAMTS17	chr15	100341755	100342255	0.129465473382731	0.13148856652976	1276	113
ADAMTS18	chr16	77434864	77435364	-0.000193898527344292	-9.60250628428955e-05	261	11
ADAMTS19	chr5	129460014	129460514	0.0382041582929882	0.0321407197887184	297	41
ADAMTS19-AS1	chr5	129460439	129460939	0.0406421353701124	0.0351140147634533	290	42
ADAMTS2	chr5	179345180	179345680	0.0492055820516007	0.0498248070406968	606	66
ADAMTS20	chr12	43551721	43552221	0.001916983454913	0.000670316961113184	210	16
ADAMTS3	chr4	72568549	72569049	0.178777535271318	0.178635901666853	647	103
ADAMTS4	chr1	161198803	161199303	0.334088993871788	0.325001756956273	480	112
ADAMTS5	chr21	26966870	26967370	0.196270170935021	0.19857964441407	656	92
ADAMTS6	chr5	65481670	65482170	0.387601344015844	0.359830821505034	652	131
ADAMTS7	chr15	78811213	78811713	0.149179459819135	0.13631350763039	705	114
ADAMTS7P1	chr15_KI270850v1_alt	3050	3550	NA	NA	NA	NA
ADAMTS8	chr11	130428743	130429243	0.0243105524629418	0.0249631152090209	676	39
ADAMTS9	chr3	64687439	64687939	0.133018045643748	0.116137831603443	570	66
ADAMTS9-AS1	chr3	64561095	64561595	0.00106458734186319	0.000725683618113909	440	13
ADAMTS9-AS2	chr3	64684619	64685119	0.103310261032617	0.0849548420852838	520	57
ADAMTSL1	chr9	18473830	18474330	0.030921114688889	0.0242450334136351	717	57
ADAMTSL2	chr9	133534602	133535102	0.0103123469060322	0.00831469446759643	698	49
ADAMTSL3	chr15	83653835	83654335	0.0101226736990782	0.0092357466815026	583	33
ADAMTSL4	chr1	150549118	150549618	0.390485129741575	0.368092891079656	370	119
ADAMTSL4-AS1	chr1	150574302	150574802	0.25126054775673	0.224209282672461	332	103
ADAMTSL5	chr19	1512939	1513439	0.213308909107737	0.213678214277218	379	88
ADAP1	chr7	954433	954933	0.0439958596300554	0.0437023177664963	814	69
ADAP2	chr17	30921485	30921985	0.02212699642642	0.0215216386363255	582	71
ADAR	chr1	154607998	154608498	0.308226403225217	0.272186358548761	381	130
ADARB1	chr21	45074327	45074827	0.0656955566664138	0.061222458116416	1466	125
ADARB2	chr10	1737226	1737726	0.00544145808857497	0.00303490067687474	825	30
ADARB2-AS1	chr10	1526379	1526879	-0.000129115306612864	-0.000172869110706788	249	9
ADAT1	chr16	75623073	75623573	0.608486043065851	0.605197093509439	732	131
ADAT2	chr6	143450454	143450954	0.493346880563105	0.500306878467807	1104	131
ADAT3	chr19	1904963	1905463	0.204328087328584	0.174151363157344	585	130
ADCK1	chr14	77799832	77800332	0.479251456684395	0.49803333603048	580	130
ADCK2	chr7	140672902	140673402	0.110134253914719	0.107543406669793	805	124
ADCY1	chr7	45574275	45574775	0.00409470411201599	0.00391129221048264	619	40
ADCY10	chr1	167913976	167914476	0.0471601283778503	0.0472815525765933	529	42
ADCY10P1	chr6	41100783	41101283	0.040295069534792	0.0371567988594732	290	40
ADCY2	chr5	7395979	7396479	0.00849381634164206	0.0081838730336305	494	26
ADCY3	chr2	24919767	24920267	0.0986946918274715	0.0972935103411731	531	101
ADCY4	chr14	24334821	24335321	0.0336376278477108	0.0285446929244103	367	62
ADCY5	chr3	123448295	123448795	0.0113370868701645	0.0110897172982262	476	44
ADCY6	chr12	48788846	48789346	0.0801732189369967	0.0642679172940593	388	86
ADCY7	chr16	50287661	50288161	0.0452287408810918	0.0445110400419025	320	37
ADCY8	chr8	131040339	131040839	0.00103709906927134	0.000861413448773768	150	10
ADCY9	chr16	4115935	4116435	0.161128714488271	0.161577598471867	621	101
ADCYAP1	chr18	904945	905445	0.000554546294866857	0.000419320375197137	279	9
ADCYAP1R1	chr7	31052210	31052710	-0.000126657200065519	-8.94720630532747e-05	279	14
