GeneSymbol	gene_chr	gene_tss	gene_tss500bp	is_ubiqutious_uniform
ABHD11	chr7	73738617	73739117	False
ABHD11-AS1	chr7	73734818	73735318	False
ABHD12	chr20	25390732	25391232	False
ABHD12B	chr14	50871909	50872409	False
ABHD13	chr13	108218164	108218664	False
ABHD14A	chr3	51974775	51975275	False
ABHD14A-ACY1	chr3	51974775	51975275	False
ABHD14B	chr3	51974380	51974880	False
ABHD15	chr17	29566774	29567274	False
ABHD16A	chr6	31703110	31703610	False
ABHD16B	chr20	63860962	63861462	False
ABHD17A	chr19	1885269	1885769	False
ABHD17B	chr9	71910995	71911495	False
ABHD17C	chr15	80695060	80695560	False
ABHD18	chr4	127965005	127965505	False
ABHD2	chr15	89087899	89088399	False
ABHD3	chr18	21704555	21705055	False
ABHD4	chr14	22597987	22598487	False
ABHD5	chr3	43690632	43691132	False
ABHD6	chr3	58237251	58237751	False
ABHD8	chr19	17303223	17303723	False
ABI1	chr10	26860837	26861337	False
ABI2	chr2	203327988	203328488	True
ABI3	chr17	49209976	49210476	False
ABI3BP	chr3	100993240	100993740	False
ABL1	chr9	130835004	130835504	False
ABL2	chr1	179229434	179229934	False
ABLIM1	chr10	114526676	114527176	False
ABLIM2	chr4	8158582	8159082	False
ABLIM3	chr5	149141196	149141696	False
ABO	chr9	133274964	133275464	False
ABR	chr17	1229430	1229930	False
ABRA	chr8	106769994	106770494	False
ABRACL	chr6	139028431	139028931	False
ABT1	chr6	26596692	26597192	True
ABTB1	chr3	127672687	127673187	False
ABTB2	chr11	34357758	34358258	False
ACAA1	chr3	38136992	38137492	False
ACAA2	chr18	49813631	49814131	False
ACACA	chr17	37406561	37407061	True
ACACB	chr12	109139146	109139646	False
ACAD10	chr12	111685802	111686302	True
ACAD11	chr3	132659881	132660381	False
ACAD8	chr11	134253289	134253789	False
ACAD9	chr3	128879239	128879739	True
ACADL	chr2	210225241	210225741	False
ACADM	chr1	75724096	75724596	False
ACADS	chr12	120725487	120725987	False
ACADSB	chr10	123008662	123009162	False
ACADVL	chr17	7219580	7220080	False
ACAN	chr15	88803192	88803692	False
ACAP1	chr17	7336278	7336778	False
ACAP2	chr3	195442838	195443338	False
ACAP3	chr1	1307639	1308139	False
ACAT1	chr11	108121280	108121780	False
ACAT2	chr6	159761706	159762206	False
ACBD3	chr1	226186472	226186972	False
ACBD4	chr17	45135396	45135896	False
ACBD5	chr10	27240629	27241129	False
ACBD6	chr1	180502637	180503137	True
ACBD7	chr10	15088526	15089026	False
ACBD7-DCLRE1CP1	chr10	15088526	15089026	False
ACCS	chr11	44066011	44066511	False
ACCSL	chr11	44047730	44048230	False
ACD	chr16	67660565	67661065	False
ACE	chr17	63484566	63485066	False
ACE2	chrX	15601819	15602319	False
ACER1	chr19	6333379	6333879	False
ACER2	chr9	19408676	19409176	False
ACER3	chr11	76860622	76861122	False
ACHE	chr7	100895721	100896221	False
ACIN1	chr14	23095364	23095864	True
ACKR1	chr1	159203762	159204262	False
ACKR2	chr3	42809221	42809721	False
ACKR3	chr2	236569486	236569986	False
ACKR4	chr3	132596986	132597486	False
ACLY	chr17	41918769	41919269	False
ACMSD	chr2	134838365	134838865	False
ACO1	chr9	32384352	32384852	False
ACO2	chr22	41468874	41469374	False
ACOD1	chr13	76952238	76952738	False
ACOT1	chr14	73536973	73537473	False
ACOT11	chr1	54547883	54548383	False
ACOT12	chr5	81393919	81394419	False
ACOT13	chr6	24666784	24667284	True
ACOT2	chr14	73568808	73569308	False
ACOT4	chr14	73591455	73591955	False
ACOT6	chr14	73616593	73617093	False
ACOT7	chr1	6393516	6394016	True
ACOT8	chr20	45857159	45857659	True
ACOT9	chrX	23743040	23743540	True
ACOX1	chr17	75979184	75979684	False
ACOX2	chr3	58536952	58537452	False
ACOX3	chr4	8440475	8440975	True
ACOXL	chr2	110732322	110732822	False
ACOXL-AS1	chr2	111115338	111115838	False
ACP1	chr2	264618	265118	True
ACP2	chr11	47248597	47249097	False
ACP5	chr19	11578758	11579258	False
ACP6	chr1	147670293	147670793	False
ACP7	chr19	39084054	39084554	False
ACPP	chr3	132317116	132317616	False
ACPT	chr19	50790164	50790664	False
ACR	chr22	50737973	50738473	False
ACRBP	chr12	6647164	6647664	False
ACRV1	chr11	125680648	125681148	False
ACSBG1	chr15	78234457	78234957	False
ACSBG2	chr19	6135382	6135882	False
ACSF2	chr17	50425907	50426407	False
ACSF3	chr16	89093558	89094058	False
ACSL1	chr4	184825864	184826364	False
ACSL3	chr2	222860763	222861263	True
ACSL4	chrX	109733142	109733642	False
ACSL5	chr10	112375947	112376447	False
ACSL6	chr5	132011412	132011912	False
ACSM1	chr16	20691006	20691506	False
ACSM2A	chr16	20451210	20451710	False
ACSM2B	chr16	20576123	20576623	False
ACSM3	chr16	20763739	20764239	False
ACSM4	chr12	7304081	7304581	False
ACSM5	chr16	20409283	20409783	False
ACSM6	chr10	95193949	95194449	False
ACSS1	chr20	25057932	25058432	False
ACSS2	chr20	34876274	34876774	False
ACSS3	chr12	81077767	81078267	False
ACTA1	chr1	229433846	229434346	False
ACTA2	chr10	88991147	88991647	False
ACTA2-AS1	chr10	88932433	88932933	False
ACTB	chr7	5530351	5530851	False
ACTBL2	chr5	57482559	57483059	False
ACTC1	chr15	34795476	34795976	False
ACTG1	chr17	81512616	81513116	False
ACTG1P17	chr15	82739530	82740030	False
ACTG1P20	chr1	27323623	27324123	False
ACTG1P4	chr1	103569153	103569653	False
ACTG2	chr2	73892715	73893215	False
ACTL10	chr20	33666247	33666747	False
ACTL6A	chr3	179562629	179563129	True
ACTL6B	chr7	100656211	100656711	False
ACTL7A	chr9	108861977	108862477	False
ACTL7B	chr9	108855745	108856245	False
ACTL8	chr1	17755062	17755562	False
ACTL9	chr19	8698580	8699080	False
ACTN1	chr14	68979116	68979616	True
ACTN1-AS1	chr14	68979431	68979931	False
ACTN2	chr1	236686203	236686703	False
ACTN3	chr11	66546590	66547090	False
ACTN4	chr19	38647365	38647865	True
ACTR10	chr14	58199864	58200364	True
ACTR1A	chr10	102502505	102503005	True
ACTR1B	chr2	97663848	97664348	True
ACTR2	chr2	65227444	65227944	True
ACTR3	chr2	113889683	113890183	False
ACTR3B	chr7	152759498	152759998	False
ACTR3BP2	chr2	91940882	91941382	False
ACTR3BP5	chr10	38696345	38696845	False
ACTR3C	chr7	150323419	150323919	False
ACTR5	chr20	38748203	38748703	False
ACTR6	chr12	100200526	100201026	False
ACTR8	chr3	53881952	53882452	True
ACTRT1	chrX	128052153	128052653	False
ACTRT2	chr1	3021231	3021731	False
ACTRT3	chr3	169769645	169770145	False
ACVR1	chr2	157875612	157876112	False
ACVR1B	chr12	51951416	51951916	False
ACVR1C	chr2	157628637	157629137	False
ACVR2A	chr2	147844266	147844766	False
ACVR2B	chr3	38454048	38454548	False
ACVR2B-AS1	chr3	38454570	38455070	False
ACVRL1	chr12	51907167	51907667	False
ACY1	chr3	51983033	51983533	False
ACY3	chr11	67650409	67650909	False
ACYP1	chr14	75063799	75064299	False
ACYP2	chr2	54115022	54115522	False
ADA	chr20	44651508	44652008	False
ADA2	chr22	17219335	17219835	False
ADAD1	chr4	122379189	122379689	False
ADAD2	chr16	84190866	84191366	False
ADAL	chr15	43330105	43330605	False
ADAM10	chr15	58749728	58750228	True
ADAM11	chr17	44758928	44759428	False
ADAM12	chr10	126388308	126388808	False
ADAM15	chr1	155051021	155051521	False
ADAM17	chr2	9555570	9556070	False
ADAM18	chr8	39584317	39584817	False
ADAM19	chr5	157575573	157576073	False
ADAM1A	chr12	111898812	111899312	False
ADAM2	chr8	39838039	39838539	False
ADAM20	chr14	70534765	70535265	False
ADAM20P1	chr14	70483506	70484006	False
ADAM21	chr14	70451906	70452406	False
ADAM21P1	chr14	70247551	70248051	False
ADAM22	chr7	87933892	87934392	False
ADAM23	chr2	206443393	206443893	False
ADAM28	chr8	24293789	24294289	False
ADAM29	chr4	174918107	174918607	False
ADAM30	chr1	119896274	119896774	False
ADAM32	chr8	39107278	39107778	False
ADAM33	chr20	3682440	3682940	False
ADAM3A	chr8	39522739	39523239	False
ADAM3B	chr16	49518335	49518835	False
ADAM5	chr8	39314412	39314912	False
ADAM6	chr14	105972019	105972519	False
ADAM7	chr8	24440745	24441245	False
ADAM8	chr10	133276653	133277153	False
ADAM9	chr8	38996735	38997235	False
ADAMDEC1	chr8	24384034	24384534	False
ADAMTS1	chr21	26845159	26845659	False
ADAMTS10	chr19	8610485	8610985	False
ADAMTS12	chr5	33891942	33892442	False
ADAMTS13	chr9	133421749	133422249	False
ADAMTS14	chr10	70672255	70672755	False
ADAMTS15	chr11	130448723	130449223	False
ADAMTS16	chr5	5140079	5140579	False
ADAMTS17	chr15	100341755	100342255	False
ADAMTS18	chr16	77434864	77435364	False
ADAMTS19	chr5	129460014	129460514	False
ADAMTS19-AS1	chr5	129460439	129460939	False
ADAMTS2	chr5	179345180	179345680	False
ADAMTS20	chr12	43551721	43552221	False
ADAMTS3	chr4	72568549	72569049	False
ADAMTS4	chr1	161198803	161199303	False
ADAMTS5	chr21	26966870	26967370	False
ADAMTS6	chr5	65481670	65482170	False
ADAMTS7	chr15	78811213	78811713	False
ADAMTS7P1	chr15_KI270850v1_alt	3050	3550	False
ADAMTS8	chr11	130428743	130429243	False
ADAMTS9	chr3	64687439	64687939	False
ADAMTS9-AS1	chr3	64561095	64561595	False
ADAMTS9-AS2	chr3	64684619	64685119	False
ADAMTSL1	chr9	18473830	18474330	False
ADAMTSL2	chr9	133534602	133535102	False
ADAMTSL3	chr15	83653835	83654335	False
ADAMTSL4	chr1	150549118	150549618	False
ADAMTSL4-AS1	chr1	150574302	150574802	False
ADAMTSL5	chr19	1512939	1513439	False
ADAP1	chr7	954433	954933	False
ADAP2	chr17	30921485	30921985	False
ADAR	chr1	154607998	154608498	False
ADARB1	chr21	45074327	45074827	False
ADARB2	chr10	1737226	1737726	False
ADARB2-AS1	chr10	1526379	1526879	False
ADAT1	chr16	75623073	75623573	True
ADAT2	chr6	143450454	143450954	False
ADAT3	chr19	1904963	1905463	True
ADCK1	chr14	77799832	77800332	False
ADCK2	chr7	140672902	140673402	True
ADCY1	chr7	45574275	45574775	False
ADCY10	chr1	167913976	167914476	False
ADCY10P1	chr6	41100783	41101283	False
ADCY2	chr5	7395979	7396479	False
ADCY3	chr2	24919767	24920267	False
ADCY4	chr14	24334821	24335321	False
ADCY5	chr3	123448295	123448795	False
ADCY6	chr12	48788846	48789346	False
ADCY7	chr16	50287661	50288161	False
ADCY8	chr8	131040339	131040839	False
ADCY9	chr16	4115935	4116435	False
ADCYAP1	chr18	904945	905445	False
ADCYAP1R1	chr7	31052210	31052710	False
ADD1	chr4	2843606	2844106	True
ADD2	chr2	70767993	70768493	False
ADD3	chr10	110007685	110008185	False
ADD3-AS1	chr10	110008131	110008631	False
ADGB	chr6	146598749	146599249	False
ADGRA1	chr10	133087753	133088253	False
ADGRA1-AS1	chr10	133086447	133086947	False
ADGRA2	chr8	37796632	37797132	False
ADGRA3	chr4	22515804	22516304	False
ADGRB1	chr8	142463765	142464265	False
ADGRB2	chr1	31763813	31764313	False
ADGRB3	chr6	68635489	68635989	False
ADGRD1	chr12	130953656	130954156	False
ADGRE1	chr19	6887298	6887798	False
ADGRE2	chr19	14778291	14778791	False
ADGRE3	chr19	14674668	14675168	False
ADGRE4P	chr19	6990596	6991096	False
ADGRE5	chr19	14380893	14381393	False
ADGRF1	chr6	47042113	47042613	False
ADGRF2	chr6	47656339	47656839	False
ADGRF3	chr2	26346567	26347067	False
ADGRF4	chr6	47698294	47698794	False
ADGRF5	chr6	46954688	46955188	False
ADGRG1	chr16	57627975	57628475	False
ADGRG2	chrX	19122387	19122887	False
ADGRG3	chr16	57667994	57668494	False
ADGRG4	chrX	136300712	136301212	False
ADGRG5	chr16	57542386	57542886	False
ADGRG6	chr6	142301668	142302168	False
ADGRG7	chr3	100609338	100609838	False
ADGRL1	chr19	14205935	14206435	False
ADGRL2	chr1	81800146	81800646	False
ADGRL3	chr4	61201005	61201505	False
ADGRL3-AS1	chr4	62161515	62162015	False
ADGRL4	chr1	79006560	79007060	False
ADGRV1	chr5	90558549	90559049	False
ADH1A	chr4	99290778	99291278	False
ADH1B	chr4	99321192	99321692	False
ADH1C	chr4	99352795	99353295	False
ADH4	chr4	99144048	99144548	False
ADH5	chr4	99088538	99089038	False
ADH6	chr4	99218996	99219496	False
ADH7	chr4	99435260	99435760	False
ADHFE1	chr8	66432232	66432732	False
ADI1	chr2	3519329	3519829	False
ADIG	chr20	38580944	38581444	False
ADIPOQ	chr3	186842423	186842923	False
ADIPOQ-AS1	chr3	186855873	186856373	False
ADIPOR1	chr1	202958146	202958646	False
ADIPOR2	chr12	1690830	1691330	False
ADIRF	chr10	86968180	86968680	False
ADK	chr10	74176238	74176738	False
ADM	chr11	10304729	10305229	False
ADM2	chr22	50481473	50481973	False
ADM5	chr19	49688434	49688934	False
ADNP	chr20	50930963	50931463	True
ADNP-AS1	chr20	50930733	50931233	False
ADNP2	chr18	80108780	80109280	False
ADO	chr10	62804505	62805005	False
ADORA1	chr1	203127457	203127957	False
ADORA2A	chr22	24427311	24427811	False
ADORA2A-AS1	chr22	24494824	24495324	False
ADORA2B	chr17	15944666	15945166	False
ADORA3	chr1	111503871	111504371	False
ADPGK	chr15	72783535	72784035	False
ADPGK-AS1	chr15	72782584	72783084	False
ADPRH	chr3	119579182	119579682	False
ADPRHL1	chr13	113453274	113453774	False
ADPRHL2	chr1	36088601	36089101	False
ADPRM	chr17	10697359	10697859	False
ADRA1A	chr8	26865405	26865905	False
ADRA1B	chr5	159916482	159916982	False
ADRA1D	chr20	4248762	4249262	False
ADRA2A	chr10	111076781	111077281	False
ADRA2B	chr2	96115995	96116495	False
ADRA2C	chr4	3766318	3766818	False
ADRB1	chr10	114043796	114044296	False
ADRB2	chr5	148826342	148826842	False
ADRB3	chr8	37966416	37966916	False
ADRM1	chr20	62302645	62303145	True
ADSL	chr22	40346249	40346749	True
ADSS	chr1	244451884	244452384	False
ADSSL1	chr14	104729593	104730093	False
ADTRP	chr6	11778797	11779297	False
AEBP1	chr7	44104110	44104610	False
AEBP2	chr12	19439423	19439923	False
AEN	chr15	88621045	88621545	False
AES	chr19	3062123	3062623	True
AFAP1	chr4	7939676	7940176	False
AFAP1-AS1	chr4	7753839	7754339	False
AFAP1L1	chr5	149271587	149272087	False
AFAP1L2	chr10	114404528	114405028	False
AFDN	chr6	167826740	167827240	False
AFDN-AS1	chr6	167826546	167827046	False
AFF1	chr4	87006737	87007237	False
AFF2	chrX	148500368	148500868	False
AFF3	chr2	100142325	100142825	False
AFF4	chr5	132963412	132963912	False
AFG3L1P	chr16	89972329	89972829	False
AFG3L2	chr18	12377026	12377526	True
AFM	chr4	73481494	73481994	False
AFMID	chr17	78187066	78187566	True
AFP	chr4	73435968	73436468	False
AFTPH	chr2	64524054	64524554	False
AGA	chr4	177442253	177442753	False
AGAP1	chr2	235493838	235494338	False
AGAP1-IT1	chr2	235505500	235506000	False
AGAP11	chr10	86970490	86970990	False
AGAP12P	chr10	48031390	48031890	False
AGAP2	chr12	57741911	57742411	False
AGAP2-AS1	chr12	57725989	57726489	False
AGAP3	chr7	151086171	151086671	False
AGAP4	chr10	45847223	45847723	False
AGAP5	chr10	73697546	73698046	False
AGAP6	chr10	49988067	49988567	False
AGAP7P	chr10	46109244	46109744	False
AGBL1	chr15	86079557	86080057	False
AGBL1-AS1	chr15	86316718	86317218	False
AGBL2	chr11	47715126	47715626	False
AGBL3	chr7	134986257	134986757	False
AGBL4	chr1	50023704	50024204	False
AGBL4-IT1	chr1	49471835	49472335	False
AGBL5	chr2	27051372	27051872	False
AGBL5-AS1	chr2	27050014	27050514	False
AGER	chr6	32184072	32184572	False
AGFG1	chr2	227471921	227472421	False
AGFG2	chr7	100538960	100539460	False
AGGF1	chr5	77030134	77030634	True
AGK	chr7	141551027	141551527	False
AGL	chr1	99850238	99850738	False
AGMAT	chr1	15584860	15585360	False
AGMO	chr7	15561765	15562265	False
AGO1	chr1	35882944	35883444	False
AGO2	chr8	140635296	140635796	False
AGO3	chr1	35930831	35931331	False
AGO4	chr1	35807976	35808476	False
AGPAT1	chr6	32175889	32176389	False
AGPAT2	chr9	136687209	136687709	False
AGPAT3	chr21	43864984	43865484	True
AGPAT4	chr6	161273825	161274325	False
AGPAT4-IT1	chr6	161161732	161162232	False
AGPAT5	chr8	6708106	6708606	False
AGPS	chr2	177392492	177392992	False
AGR2	chr7	16804864	16805364	False
AGR3	chr7	16881739	16882239	False
AGRN	chr1	1019872	1020372	False
AGRP	chr16	67483563	67484063	False
AGT	chr1	230714340	230714840	False
AGTPBP1	chr9	85741779	85742279	False
AGTR1	chr3	148697620	148698120	False
AGTR2	chrX	116170454	116170954	False
AGTRAP	chr1	11735834	11736334	False
AGXT	chr2	240868494	240868994	False
AGXT2	chr5	35047885	35048385	False
AHCTF1	chr1	246931728	246932228	False
AHCTF1P1	chr2	161507652	161508152	False
AHCY	chr20	34302756	34303256	True
AHCYL1	chr1	109984514	109985014	False
AHCYL2	chr7	129224763	129225263	False
AHDC1	chr1	27603244	27603744	False
AHI1	chr6	135497515	135498015	False
AHNAK	chr11	62546610	62547110	False
AHNAK2	chr14	104978107	104978607	False
AHR	chr7	17298401	17298901	False
AHRR	chr5	303925	304425	False
AHSA1	chr14	77457779	77458279	False
AHSA2	chr2	61177167	61177667	False
AHSG	chr3	186612810	186613310	False
AHSP	chr16	31527601	31528101	False
AICDA	chr12	8612617	8613117	False
AIDA	chr1	222712272	222712772	False
AIF1	chr6	31614958	31615458	False
AIF1L	chr9	131096225	131096725	False
AIFM1	chrX	130165637	130166137	True
AIFM2	chr10	70132684	70133184	False
AIFM3	chr22	20964879	20965379	False
AIG1	chr6	143060591	143061091	True
AIM1	chr6	106511604	106512104	False
AIM1L	chr1	26353880	26354380	False
AIM2	chr1	159076651	159077151	False
AIMP1	chr4	106315445	106315945	False
AIMP2	chr7	6009000	6009500	True
AIP	chr11	67482778	67483278	True
AIPL1	chr17	6434949	6435449	False
AIRE	chr21	44285587	44286087	False
AIRN	chr6	160007414	160007914	False
AJAP1	chr1	4654794	4655294	False
AJUBA	chr14	22982392	22982892	False
AK1	chr9	127877493	127877993	False
AK2	chr1	33036661	33037161	True
AK3	chr9	4741059	4741559	True
AK4	chr1	65147916	65148416	False
AK5	chr1	77282351	77282851	False
AK6	chr5	69369332	69369832	False
AK7	chr14	96391860	96392360	False
AK8	chr9	132878561	132879061	False
AK9	chr6	109690962	109691462	False
AKAIN1	chr18	5197006	5197506	False
AKAP1	chr17	57084941	57085441	False
AKAP10	chr17	19977606	19978106	False
AKAP11	chr13	42271902	42272402	False
AKAP12	chr6	151239748	151240248	False
AKAP13	chr15	85380365	85380865	False
AKAP14	chrX	119895722	119896222	False
AKAP17A	chrX	1591342	1591842	False
AKAP2	chr9	110048347	110048847	False
AKAP3	chr12	4648797	4649297	False
AKAP4	chrX	50200763	50201263	False
AKAP5	chr14	64465248	64465748	False
AKAP6	chr14	32329022	32329522	False
AKAP7	chr6	131249908	131250408	False
AKAP8	chr19	15379551	15380051	True
AKAP8L	chr19	15418871	15419371	True
AKAP9	chr7	91940624	91941124	False
AKIP1	chr11	8910903	8911403	True
AKIRIN1	chr1	38990993	38991493	True
AKIRIN2	chr6	87702017	87702517	True
AKNA	chr9	114394155	114394655	False
AKNAD1	chr1	108856854	108857354	True
AKR1A1	chr1	45550532	45551032	False
AKR1B1	chr7	134458942	134459442	False
AKR1B10	chr7	134527341	134527841	False
AKR1B15	chr7	134548846	134549346	False
AKR1C1	chr10	4963011	4963511	False
AKR1C2	chr10	5017783	5018283	False
AKR1C3	chr10	5094125	5094625	False
AKR1C4	chr10	5196584	5197084	False
AKR1C6P	chr10	4916023	4916523	False
AKR1C8P	chr10	5184937	5185437	False
AKR1D1	chr7	138076181	138076681	False
AKR1E2	chr10	4825926	4826426	False
AKR7A2	chr1	19311896	19312396	True
AKR7A2P1	chr1	112923099	112923599	False
AKR7A3	chr1	19288536	19289036	False
AKR7L	chr1	19273872	19274372	False
AKT1	chr14	104795493	104795993	True
AKT1S1	chr19	49877137	49877637	True
AKT2	chr19	40285145	40285645	True
AKT3	chr1	243843032	243843532	False
AKTIP	chr16	53503054	53503554	False
ALAD	chr9	113401088	113401588	False
ALAS1	chr3	52197832	52198332	False
ALAS2	chrX	55030814	55031314	False
ALB	chr4	73403988	73404488	False
ALCAM	chr3	105366462	105366962	False
ALDH16A1	chr19	49452965	49453465	False
ALDH18A1	chr10	95656560	95657060	True
ALDH1A1	chr9	72953067	72953567	False
ALDH1A2	chr15	58065673	58066173	False
ALDH1A3	chr15	100879441	100879941	False
ALDH1B1	chr9	38392413	38392913	False
ALDH1L1	chr3	126180552	126181052	False
ALDH1L1-AS1	chr3	126103389	126103889	False
ALDH1L1-AS2	chr3	126179814	126180314	False
ALDH1L2	chr12	105084313	105084813	False
ALDH2	chr12	111766636	111767136	False
ALDH3A1	chr17	19748183	19748683	False
ALDH3A2	chr17	19648500	19649000	False
ALDH3B1	chr11	68010054	68010554	False
ALDH3B2	chr11	67674381	67674881	False
ALDH4A1	chr1	18902549	18903049	False
ALDH5A1	chr6	24494718	24495218	False
ALDH6A1	chr14	74084243	74084743	False
ALDH7A1	chr5	126595140	126595640	False
ALDH8A1	chr6	134949872	134950372	False
ALDH9A1	chr1	165698413	165698913	False
ALDOA	chr16	30065422	30065922	False
ALDOB	chr9	101435530	101436030	False
ALDOC	chr17	28576683	28577183	False
ALG1	chr16	5071558	5072058	False
ALG10	chr12	34022030	34022530	False
ALG10B	chr12	38316504	38317004	False
ALG11	chr13	52012136	52012636	False
ALG12	chr22	49918208	49918708	True
ALG13	chrX	111680867	111681367	True
ALG14	chr1	95072701	95073201	True
ALG1L	chr3	125936794	125937294	False
ALG1L2	chr3	130081580	130082080	False
ALG1L9P	chr11	71813609	71814109	False
ALG2	chr9	99221714	99222214	True
ALG3	chr3	184248721	184249221	False
ALG5	chr13	36999117	36999617	True
ALG6	chr1	63367339	63367839	True
ALG8	chr11	78139403	78139903	True
ALG9	chr11	111871331	111871831	True
ALK	chr2	29921361	29921861	False
ALKAL1	chr8	52565211	52565711	False
ALKAL2	chr2	288058	288558	False
ALKBH1	chr14	77707763	77708263	False
ALKBH2	chr12	109093238	109093738	False
ALKBH3	chr11	43880556	43881056	True
ALKBH3-AS1	chr11	43920694	43921194	False
ALKBH4	chr7	102464624	102465124	True
ALKBH5	chr17	18183302	18183802	True
ALKBH6	chr19	36013989	36014489	True
ALKBH7	chr19	6372182	6372682	False
ALKBH8	chr11	107565485	107565985	False
ALLC	chr2	3657945	3658445	False
ALMS1	chr2	73385507	73386007	False
ALMS1-IT1	chr2	73456852	73457352	False
ALMS1P1	chr2	73644668	73645168	False
ALOX12	chr17	6995814	6996314	False
ALOX12-AS1	chr17	7012084	7012584	False
ALOX12B	chr17	8087453	8087953	False
ALOX12P2	chr17	6853325	6853825	False
ALOX15	chr17	4641415	4641915	False
ALOX15B	chr17	8038789	8039289	False
ALOX15P1	chr17	6657468	6657968	False
ALOX5	chr10	45373915	45374415	False
ALOX5AP	chr13	30735257	30735757	False
ALOXE3	chr17	8118292	8118792	False
ALPI	chr2	232455861	232456361	False
ALPK1	chr4	112297092	112297592	False
ALPK2	chr18	58628707	58629207	False
ALPK3	chr15	84816429	84816929	False
ALPL	chr1	21509107	21509607	False
ALPP	chr2	232378283	232378783	False
ALPPL2	chr2	232406591	232407091	False
ALS2	chr2	201780922	201781422	False
ALS2CL	chr3	46693463	46693963	False
ALS2CR12	chr2	201357148	201357648	False
ALX1	chr12	85280007	85280507	False
ALX3	chr1	110070450	110070950	False
ALX4	chr11	44309916	44310416	False
ALYREF	chr17	81891336	81891836	True
AMACR	chr5	34007865	34008365	False
AMBN	chr4	70592007	70592507	False
